Tipo;Fecha;Apertura;Cierre;Dif.%;Máximo;Mínimo;Volumen(m)
ibex-35;09/04/2019;9.428,300;9.407,800;-0,32;9.511,200;9.388,300;137.599.807
ibex-35;08/04/2019;9.483,400;9.437,700;-0,76;9.495,100;9.425,200;121.814.457
ibex-35;05/04/2019;9.542,400;9.510,300;-0,25;9.553,600;9.476,500;178.692.082
ibex-35;04/04/2019;9.488,900;9.534,100;0,49;9.551,500;9.472,000;164.758.798
ibex-35;03/04/2019;9.457,100;9.487,800;1,33;9.491,200;9.436,500;173.813.072
ibex-35;02/04/2019;9.356,700;9.363,500;0,23;9.400,700;9.322,900;152.284.249
ibex-35;01/04/2019;9.304,800;9.341,700;1,10;9.355,200;9.269,700;200.871.293
ibex-35;29/03/2019;9.226,500;9.240,300;0,72;9.273,800;9.190,500;181.744.162
ibex-35;28/03/2019;9.214,100;9.174,700;-0,60;9.245,600;9.170,400;153.242.663
ibex-35;27/03/2019;9.194,800;9.229,900;0,51;9.323,500;9.146,100;239.047.719
ibex-35;26/03/2019;9.189,700;9.183,100;0,03;9.211,700;9.151,500;168.850.578
ibex-35;25/03/2019;9.159,400;9.179,900;-0,21;9.232,800;9.127,300;169.093.161
ibex-35;22/03/2019;9.394,600;9.199,400;-1,67;9.395,200;9.188,300;216.681.977
ibex-35;21/03/2019;9.387,400;9.355,600;-0,53;9.397,600;9.326,200;179.840.468
ibex-35;20/03/2019;9.467,700;9.405,600;-0,91;9.509,200;9.405,600;138.666.619
ibex-35;19/03/2019;9.428,400;9.492,300;0,88;9.532,900;9.417,900;150.401.549
ibex-35;18/03/2019;9.350,800;9.409,100;0,72;9.418,800;9.343,900;152.580.328
ibex-35;15/03/2019;9.219,500;9.342,200;1,44;9.342,200;9.216,100;372.906.697
ibex-35;14/03/2019;9.193,700;9.209,800;0,19;9.283,900;9.192,100;155.127.732
ibex-35;13/03/2019;9.134,700;9.192,700;0,34;9.202,700;9.123,000;162.606.638
ibex-35;12/03/2019;9.206,900;9.161,700;-0,11;9.213,800;9.137,200;144.895.924
ibex-35;11/03/2019;9.157,700;9.171,900;0,47;9.181,700;9.106,800;129.690.021
ibex-35;08/03/2019;9.173,200;9.129,300;-1,30;9.205,500;9.110,500;197.951.594
ibex-35;07/03/2019;9.301,000;9.249,900;-0,50;9.366,700;9.216,100;253.051.965
ibex-35;06/03/2019;9.243,100;9.296,700;0,42;9.344,600;9.235,400;140.841.093
ibex-35;05/03/2019;9.255,700;9.258,200;-0,02;9.298,700;9.204,300;140.185.008
ibex-35;04/03/2019;9.309,300;9.259,800;-0,09;9.322,000;9.248,000;112.921.754
ibex-35;01/03/2019;9.313,500;9.267,700;-0,11;9.361,400;9.267,700;167.873.408
ibex-35;28/02/2019;9.166,300;9.277,700;0,72;9.293,100;9.141,000;260.630.475
ibex-35;27/02/2019;9.206,200;9.211,700;-0,17;9.226,200;9.160,900;174.514.381
ibex-35;26/02/2019;9.172,000;9.227,200;0,25;9.235,800;9.141,800;127.095.052
ibex-35;25/02/2019;9.244,200;9.204,300;0,00;9.261,400;9.198,800;131.229.830
ibex-35;22/02/2019;9.184,700;9.204,600;0,15;9.238,900;9.175,300;131.199.621
ibex-35;21/02/2019;9.202,500;9.191,200;0,11;9.224,700;9.162,900;137.605.158
ibex-35;20/02/2019;9.156,800;9.181,100;0,49;9.189,700;9.148,700;130.317.291
ibex-35;19/02/2019;9.152,100;9.136,400;-0,21;9.187,600;9.096,100;117.857.504
ibex-35;18/02/2019;9.134,600;9.155,500;0,35;9.174,700;9.123,600;115.182.808
ibex-35;15/02/2019;8.953,400;9.123,200;1,91;9.134,800;8.918,500;208.112.671
